Start of the Ejecta,End of the Ejecta,MC
,,
,1995-02-08T03:34:17,1995-02-08T21:00:00
,1995-02-09T07:16:30,1995-02-10T03:59:59
1995-03-04T00:38:34,1995-03-04T11:42:51,1995-03-05T00:08:34
1995-03-23T09:45:00,1995-03-23T22:10:42,1995-03-24T16:10:42
,1995-04-01T16:34:17,1995-04-02T05:42:51
,1995-04-03T13:00:00,1995-04-04T12:51:25
,1995-05-13T10:25:42,1995-05-13T15:47:08
,1995-06-30T14:06:00,1995-07-01T06:58:29
,1995-07-01T21:00:00,1995-07-02T10:25:42
1995-08-22T13:00:00,1995-08-22T22:17:08,1995-08-23T18:59:59
,1995-09-15T18:17:08,1995-09-16T03:08:34
,1995-09-27T13:59:59,1995-09-27T21:00:00
1995-10-18T10:42:51,1995-10-18T19:00:00,1995-10-19T23:08:34
,1995-12-02T12:30:00,1995-12-02T19:31:04
1995-12-15T04:38:34,1995-12-15T15:04:17,1995-12-16T19:04:17
,1996-05-27T14:44:15,1996-05-28T11:21:25
,1996-07-01T17:15:00,1996-07-02T10:16:29
,1996-08-07T11:42:00,1996-08-08T08:14:59
,1996-12-24T02:53:15,1996-12-24T13:41:15
,1996-12-24T16:23:15,1996-12-25T11:24:00
1997-01-10T00:51:45,1997-01-10T04:41:15,1997-01-11T02:57:45
1997-02-09T12:49:30,1997-02-10T02:46:30,1997-02-10T18:40:30
,1997-04-11T05:57:03,1997-04-11T14:55:30
,1997-04-21T12:02:15,1997-04-23T10:30:00
1997-05-15T01:12:00,1997-05-15T09:51:45,1997-05-15T23:28:30
1997-05-26T09:06:45,1997-05-26T16:12:00,1997-05-27T10:00:00
,1997-06-08T19:14:15,1997-06-09T23:01:30
,1997-07-15T09:00:00,1997-07-16T11:01:29
,1997-08-03T13:52:30,1997-08-04T02:15:00
1997-09-03T08:37:18,1997-09-03T13:45:00,1997-09-03T20:40:30
,1997-09-22T01:30:00,1997-09-22T12:19:41
,1997-10-01T17:07:52,1997-10-02T23:07:46
1997-10-10T15:57:56,1997-10-10T21:37:58,1997-10-11T14:33:11
,1997-10-27T10:34:30,1997-10-28T04:57:00
1997-11-06T22:16:30,1997-11-07T15:33:33,1997-11-08T14:25:42
1997-11-22T09:13:30,1997-11-22T18:51:25,1997-11-23T12:49:30
1997-12-10T04:36:00,1997-12-10T18:26:26,1997-12-11T10:13:30
,1997-12-11T13:15:11,1997-12-11T23:52:07
1998-01-06T13:30:00,1998-01-07T02:53:15,1998-01-08T07:27:45
,1998-01-20T17:19:30,1998-01-22T13:39:00
,1998-01-29T23:03:45,1998-01-30T23:08:15
,1998-02-02T13:13:07,1998-02-04T02:16:41
,1998-02-04T05:00:00,1998-02-05T22:27:22
,1998-02-17T10:23:15,1998-02-17T20:38:34
1998-02-18T07:45:45,1998-02-19T00:11:15,1998-02-20T00:29:15
1998-03-04T11:01:30,1998-03-04T14:37:30,1998-03-05T20:29:09
,1998-03-06T22:16:30,1998-03-07T09:36:00
,1998-03-25T16:11:48,1998-03-26T09:10:41
,1998-04-01T01:30:28,1998-04-01T17:39:45
,1998-04-01T20:29:43,1998-04-02T11:48:28
,1998-04-12T01:12:00,1998-04-13T03:58:30
1998-05-01T21:18:00,1998-05-02T11:48:45,1998-05-04T05:01:30
1998-05-03T17:05:59,1998-05-04T11:42:00,1998-05-05T05:06:00
1998-05-04T02:33:00,1998-05-05T07:03:00,1998-05-06T23:42:00
1998-06-13T19:13:07,1998-06-14T02:20:37,1998-06-14T23:20:37
,1998-06-24T13:25:30,1998-06-24T22:48:00
,1998-06-25T03:04:30,1998-06-25T22:07:30
1998-06-25T16:03:00,1998-06-26T07:48:00,1998-06-26T19:39:00
,1998-07-06T21:24:22,1998-07-07T14:06:00
,1998-07-07T15:20:15,1998-07-09T05:55:30
,1998-07-11T15:27:00,1998-07-12T22:39:00
1998-08-01T08:19:30,1998-08-01T15:38:15,1998-08-03T10:30:00
1998-08-10T00:27:00,1998-08-10T16:34:30,1998-08-10T22:43:30
1998-08-19T18:40:30,1998-08-20T09:11:15,1998-08-21T20:24:00
1998-08-26T06:40:30,1998-08-27T05:37:30,1998-08-28T00:45:00
,1998-09-23T04:21:00,1998-09-23T17:51:00
1998-09-24T23:17:15,1998-09-25T06:15:45,1998-09-26T16:27:45
1998-10-18T19:27:45,1998-10-19T04:21:00,1998-10-20T07:00:45
1998-10-23T13:00:11,1998-10-23T20:04:30,1998-10-24T19:02:03
