,disturbancestart,ICMEstart,ICMEend
0,1996/05/27 1500,1996/05/27 1500,1996/05/29 0300
1,1996/07/01 1320,1996/07/01 1800,1996/07/02 1100
2,1996/08/07 0600,1996/08/07 1200,1996/08/08 1000
3,1996/12/23 1600,1996/12/23 1700,1996/12/25 1100
4,1997/01/10 0104,1997/01/10 0400,1997/01/11 0200
5,1997/02/09 1321,1997/02/10 0200,1997/02/10 1900
6,1997/04/10 1745,1997/04/11 0600,1997/04/11 1900
7,1997/04/21 0600,1997/04/21 1000,1997/04/23 0400
8,1997/05/15 0159,1997/05/15 0900,1997/05/16 0000
9,1997/05/26 0957,1997/05/26 1600,1997/05/27 1000
10,1997/06/08 1636,1997/06/08 1800,1997/06/10 0000
11,1997/06/19 0032,1997/06/19 0700,1997/06/20 2300
12,1997/07/15 0311,1997/07/15 0800,1997/07/16 1100
13,1997/08/03 1042,1997/08/03 1300,1997/08/04 0300
14,1997/08/17 0200,1997/08/17 0600,1997/08/17 2000
15,1997/09/03 0800,1997/09/03 1300,1997/09/03 2100
16,1997/09/21 1651,1997/09/21 2100,1997/09/22 1600
17,1997/10/01 0059,1997/10/01 1600,1997/10/02 2300
18,1997/10/10 0300,1997/10/10 1100,1997/10/10 2200
19,1997/10/10 1612,1997/10/10 2200,1997/10/12 0000
20,1997/10/26 1200,1997/10/27 0000,1997/10/28 0700
21,1997/11/06 2248,1997/11/07 0400,1997/11/09 1200
22,1997/11/22 0949,1997/11/22 1900,1997/11/23 1400
23,1997/11/23 1900,1997/11/24 0000,1997/11/25 0000
24,1997/12/10 0526,1997/12/10 1800,1997/12/12 0000
25,1997/12/30 0209,1997/12/30 1000,1997/12/31 1100
26,1998/01/06 1416,1998/01/07 0100,1998/01/08 2200
27,1998/01/09 0700,1998/01/09 0700,1998/01/10 0800
28,1998/01/20 0000,1998/01/20 1700,1998/01/21 0400
29,1998/01/21 0400,1998/01/21 0600,1998/01/22 1300
30,1998/01/28 1600,1998/01/29 2000,1998/01/31 0100
31,1998/02/04 0000,1998/02/04 0400,1998/02/05 2300
32,1998/02/17 0400,1998/02/17 1000,1998/02/17 2100
33,1998/02/18 0750,1998/02/19 0100,1998/02/20 0000
34,1998/03/04 1156,1998/03/04 1300,1998/03/06 0900
35,1998/03/25 1000,1998/03/25 1300,1998/03/26 1000
36,1998/03/30 2200,1998/03/31 1100,1998/04/03 0200
37,1998/04/11 2300,1998/04/11 2300,1998/04/13 1800
38,1998/05/01 2156,1998/05/02 0500,1998/05/04 0200
39,1998/05/04 0215,1998/05/04 1000,1998/05/07 2300
40,1998/06/02 0800,1998/06/02 1000,1998/06/02 1800
41,1998/06/13 1925,1998/06/14 0400,1998/06/15 0600
42,1998/06/24 1000,1998/06/24 1600,1998/06/25 2300
43,1998/06/25 1636,1998/06/26 0400,1998/06/26 1900
44,1998/07/05 0315,1998/07/06 0600,1998/07/09 0700
45,1998/07/10 2300,1998/07/11 0000,1998/07/13 1500
46,1998/08/01 0400,1998/08/01 0400,1998/08/03 1000
47,1998/08/05 1300,1998/08/05 1300,1998/08/06 1200
48,1998/08/07 1100,1998/08/07 2300,1998/08/09 2300
49,1998/08/10 0046,1998/08/10 1100,1998/08/10 2200
50,1998/08/11 2300,1998/08/12 0100,1998/08/13 1400
51,1998/08/19 1847,1998/08/20 0600,1998/08/21 2000
52,1998/08/26 0651,1998/08/26 2200,1998/08/28 0000
53,1998/09/23 0200,1998/09/23 0400,1998/09/23 1800
54,1998/09/24 2345,1998/09/25 0600,1998/09/26 1600
55,1998/10/18 1952,1998/10/19 0400,1998/10/20 0700
56,1998/10/23 1230,1998/10/23 1500,1998/10/24 1600
57,1998/11/07 0815,1998/11/07 2200,1998/11/09 0100
58,1998/11/08 0451,1998/11/09 0100,1998/11/11 0100
59,1998/11/13 0143,1998/11/13 0200,1998/11/14 1200
60,1998/11/30 0507,1998/11/30 2100,1998/12/01 0400
61,1998/12/28 1826,1998/12/29 1800,1998/12/31 0200
62,1999/01/04 0000,1999/01/04 0400,1999/01/04 2200
63,1999/01/13 1054,1999/01/13 1500,1999/01/13 2300
64,1999/01/22 1950,1999/01/23 0900,1999/01/23 1800
65,1999/02/13 1900,1999/02/13 1900,1999/02/14 1500
66,1999/02/16 1500,1999/02/16 1500,1999/02/17 1100
67,1999/02/17 0709,1999/02/17 1600,1999/02/18 1000
68,1999/02/18 0246,1999/02/18 1000,1999/02/20 1700
69,1999/03/10 0130,1999/03/10 1700,1999/03/12 0200
70,1999/03/19 1000,1999/03/19 1100,1999/03/20 1200
71,1999/04/16 1125,1999/04/16 1800,1999/04/17 1900
72,1999/04/20 1600,1999/04/21 0400,1999/04/22 1400
73,1999/05/15 1600,1999/05/15 1600,1999/05/18 0000
74,1999/06/02 2000,1999/06/02 2300,1999/06/03 2200
75,1999/06/26 2016,1999/06/27 2200,1999/06/29 0400
76,1999/07/02 0059,1999/07/03 0500,1999/07/06 0600
77,1999/07/06 1509,1999/07/06 2100,1999/07/07 0200
78,1999/07/07 0600,1999/07/07 0700,1999/07/08 0400
79,1999/07/26 2333,1999/07/27 1700,1999/07/29 1200
80,1999/07/30 1600,1999/07/30 2000,1999/07/31 0800
81,1999/07/31 1837,1999/07/31 1900,1999/08/02 0600
82,1999/08/02 1100,1999/08/02 1500,1999/08/03 1500
83,1999/08/08 1841,1999/08/08 2000,1999/08/10 1700
84,1999/08/11 2300,1999/08/12 0300,1999/08/14 0000
85,1999/08/20 2300,1999/08/20 2300,1999/08/23 1100
86,1999/09/21 1200,1999/09/21 1200,1999/09/22 1200
87,1999/09/22 1222,1999/09/22 1900,1999/09/24 0300
88,1999/10/21 0225,1999/10/21 0800,1999/10/22 0700
89,1999/11/11 1900,1999/11/12 1000,1999/11/13 1800
90,1999/11/13 1200,1999/11/13 2000,1999/11/15 0000
91,1999/11/22 0000,1999/11/22 0000,1999/11/24 0300
92,1999/12/12 1551,1999/12/12 1900,1999/12/13 1600
93,1999/12/13 2300,1999/12/14 0400,1999/12/14 2000
94,1999/12/26 2130,1999/12/27 1100,1999/12/28 0400
95,2000/01/22 0023,2000/01/22 1700,2000/01/23 0200
96,2000/02/11 0258,2000/02/11 1600,2000/02/11 2000
97,2000/02/11 2352,2000/02/12 1200,2000/02/13 0000
98,2000/02/14 0731,2000/02/14 1200,2000/02/16 0800
99,2000/02/20 2139,2000/02/21 0500,2000/02/22 1200
100,2000/03/01 0130,2000/03/01 0300,2000/03/02 0300
101,2000/03/18 2200,2000/03/19 0200,2000/03/19 1200
102,2000/03/29 1100,2000/03/29 1900,2000/04/01 0000
103,2000/04/06 1639,2000/04/07 0600,2000/04/08 0600
104,2000/04/18 2000,2000/04/18 2000,2000/04/19 1400
105,2000/04/24 0400,2000/04/24 0400,2000/04/24 1300
106,2000/05/02 1045,2000/05/02 2000,2000/05/05 1000
107,2000/05/07 0000,2000/05/07 0000,2000/05/08 0000
108,2000/05/13 1700,2000/05/13 1700,2000/05/14 1800
109,2000/05/15 1900,2000/05/15 1900,2000/05/16 1400
110,2000/05/16 2300,2000/05/16 2300,2000/05/17 0700
111,2000/05/22 1700,2000/05/23 0900,2000/05/23 2100
112,2000/05/23 2342,2000/05/24 1200,2000/05/27 1000
113,2000/06/04 1502,2000/06/04 2200,2000/06/06 2200
114,2000/06/08 0910,2000/06/08 1200,2000/06/10 1700
115,2000/06/11 0801,2000/06/11 0900,2000/06/11 1800
116,2000/06/12 2208,2000/06/13 1200,2000/06/14 0600
117,2000/06/18 0900,2000/06/18 0900,2000/06/18 1700
118,2000/06/23 1303,2000/06/24 0000,2000/06/26 0800
119,2000/06/26 0000,2000/06/26 1000,2000/06/27 0000
120,2000/07/01 0100,2000/07/01 0900,2000/07/03 1700
121,2000/07/10 0638,2000/07/11 0200,2000/07/11 1400
122,2000/07/11 1123,2000/07/11 2200,2000/07/13 0300
123,2000/07/13 0942,2000/07/13 1300,2000/07/14 1500
